sparql,owl
"SELECT ?uri ?uri1 ?abstract WHERE { <http://dbpedia.org/resource/Category:Iron_Age_Europe> <http://www.w3.org/2004/02/skos/core#broader> ?uri . ?uri <http://www.w3.org/2004/02/skos/core#broader> ?uri1 } ","ObjectProperty: http://www.w3.org/2004/02/skos/core#broaderInverse 
   inverseOf http://www.w3.org/2004/02/skos/core#broader
(Thing THAT (http://www.w3.org/2004/02/skos/core#broaderInverse SOME http://dbpedia.org/resource/Category:Iron_Age_Europe)) AND (Thing THAT ( http://www.w3.org/2004/02/skos/core#broader SOME Thing ))"
"SELECT ?n WHERE { { { <http://dbpedia.org/resource/Porsche> <http://www.w3.org/2004/02/skos/core#subject> ?sub . ?n <http://www.w3.org/2004/02/skos/core#broader> ?sub } } } ","ObjectProperty: http://www.w3.org/2004/02/skos/core#subjectInverse 
   inverseOf http://www.w3.org/2004/02/skos/core#subject
(Thing THAT (http://www.w3.org/2004/02/skos/core#broader SOME ((Thing THAT (http://www.w3.org/2004/02/skos/core#subjectInverse SOME http://dbpedia.org/resource/Porsche)))))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Linga%2C_Muckle_Roe> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Linga%2C_Muckle_Roe))"
"SELECT ?name WHERE { ?x <http://xmlns.com/foaf/0.1/name> ?name ; a <http://dbpedia.org/ontology/Artist> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> ; <http://dbpedia.org/property/dateOfBirth> ?nacimiento } ","ObjectProperty: http://xmlns.com/foaf/0.1/nameInverse 
   inverseOf http://xmlns.com/foaf/0.1/name
(Thing THAT (http://xmlns.com/foaf/0.1/nameInverse SOME ((Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Artist )) AND (Thing THAT ( http://dbpedia.org/ontology/nationality SOME http://dbpedia.org/resource/Spain )) AND (Thing THAT ( http://dbpedia.org/property/dateOfBirth SOME Thing )))))"
"SELECT ?sl ?ml ?img ?l WHERE { ?s <http://xmlns.com/foaf/0.1/depiction> ?img ; <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:Hieronymus_Bosch_paintings> ; <http://www.w3.org/2000/01/rdf-schema#label> ?sl ; <http://dbpedia.org/property/museum> ?m . ?m <http://www.w3.org/2000/01/rdf-schema#label> ?ml . ?s <http://dbpedia.org/property/city> ?l } ","ObjectProperty: http://www.w3.org/2000/01/rdf-schema#labelInverse 
   inverseOf http://www.w3.org/2000/01/rdf-schema#label
(Thing THAT (http://www.w3.org/2000/01/rdf-schema#labelInverse SOME ((Thing THAT ( http://xmlns.com/foaf/0.1/depiction SOME Thing )) AND (Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:Hieronymus_Bosch_paintings )) AND (Thing THAT (http://dbpedia.org/property/museum SOME ((Thing THAT ( http://www.w3.org/2000/01/rdf-schema#label SOME Thing ))))) AND (Thing THAT ( http://dbpedia.org/property/city SOME Thing )))))"
"SELECT ?ville ?population ?personne WHERE { ?ville <http://dbpedia.org/property/population> ?population . ?personne <http://dbpedia.org/property/birthplace> ?ville ; <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:French_film_actors> } ","ObjectProperty: http://dbpedia.org/property/birthplaceInverse 
   inverseOf http://dbpedia.org/property/birthplace
(Thing THAT ( http://dbpedia.org/property/population SOME Thing )) AND (Thing THAT (http://dbpedia.org/property/birthplaceInverse SOME ((Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:French_film_actors )))))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Coll> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Coll))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Staritsa> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Staritsa))"
"SELECT ?x ?y WHERE { ?x ?y <http://dbpedia.org/resource/Berlin> } ","(Thing THAT (topProperty SOME http://dbpedia.org/resource/Berlin))"
"SELECT * WHERE { { ?isValueOf ?property <http://dbpedia.org/resource/Barack_Obama> } } ","(Thing THAT (topProperty SOME http://dbpedia.org/resource/Barack_Obama))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Crowlin_Islands> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Crowlin_Islands))"
"SELECT * WHERE { ?Person <http://dbpedia.org/property/resides> <http://dbpedia.org/resource/London> ; <http://dbpedia.org/property/resides> ?Wohnort ; <http://dbpedia.org/property/weight> ?Weight } ","(Thing THAT ( http://dbpedia.org/property/resides SOME http://dbpedia.org/resource/London )) AND (Thing THAT ( http://dbpedia.org/property/resides SOME Thing )) AND (Thing THAT ( http://dbpedia.org/property/weight SOME Thing ))"
"SELECT ?state ?flower WHERE { ?state <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:States_of_the_United_States> ; <http://dbpedia.org/property/flower> ?flower } ","(Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:States_of_the_United_States )) AND (Thing THAT ( http://dbpedia.org/property/flower SOME Thing ))"
"SELECT * WHERE { ?id a <http://dbpedia.org/ontology/Film> . ?select <http://dbpedia.org/property/title> ?ft . ?id <http://dbpedia.org/ontology/imdbId> ?imdb_id } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Film )) AND (Thing THAT ( http://dbpedia.org/ontology/imdbId SOME Thing_id ))"
"SELECT ?sp WHERE { ?sp a <http://dbpedia.org/ontology/SoccerPlayer> } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/SoccerPlayer ))"
"SELECT ?capital WHERE { ?country <http://dbpedia.org/property/capital> ?capital } ","ObjectProperty: http://dbpedia.org/property/capitalInverse 
   inverseOf http://dbpedia.org/property/capital
(Thing THAT (http://dbpedia.org/property/capitalInverse SOME Thing))"
"SELECT * WHERE { ?s1 <http://www.w3.org/2004/02/skos/core#broader> ?s2 . ?s3 <http://www.w3.org/2004/02/skos/core#broader> ?s1 . ?s4 <http://www.w3.org/2004/02/skos/core#broader> ?s3 } ","ObjectProperty: http://www.w3.org/2004/02/skos/core#broaderInverse 
   inverseOf http://www.w3.org/2004/02/skos/core#broader
(Thing THAT ( http://www.w3.org/2004/02/skos/core#broader SOME Thing )) AND (Thing THAT (http://www.w3.org/2004/02/skos/core#broaderInverse SOME Thing))"
"SELECT ?uri ?uri1 ?abstract ?uri2 WHERE { <http://dbpedia.org/resource/Category:Iron_Age_Europe> <http://www.w3.org/2004/02/skos/core#broader> ?uri . ?uri <http://www.w3.org/2004/02/skos/core#broader> ?uri1 . ?uri1 <http://www.w3.org/2004/02/skos/core#broader> ?uri2 } ","ObjectProperty: http://www.w3.org/2004/02/skos/core#broaderInverse 
   inverseOf http://www.w3.org/2004/02/skos/core#broader
(Thing THAT (http://www.w3.org/2004/02/skos/core#broaderInverse SOME http://dbpedia.org/resource/Category:Iron_Age_Europe)) AND (Thing THAT (http://www.w3.org/2004/02/skos/core#broader SOME ((Thing THAT ( http://www.w3.org/2004/02/skos/core#broader SOME Thing )))))"
"SELECT ?x WHERE { ?x <http://www.georss.org/georss/point> ?z } ","(Thing THAT ( http://www.georss.org/georss/point SOME Thing ))"
"SELECT ?m WHERE { ?s <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:Surrealist_paintings> ; <http://dbpedia.org/property/museum> ?m } ","ObjectProperty: http://dbpedia.org/property/museumInverse 
   inverseOf http://dbpedia.org/property/museum
(Thing THAT (http://dbpedia.org/property/museumInverse SOME ((Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:Surrealist_paintings )))))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Canna%2C_Scotland> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Canna%2C_Scotland))"
"SELECT ?props1 ?values1 WHERE { { ?values1 ?props1 <http://dbpedia.org/resource/Berlin> } } ","((topProperty SOME http://dbpedia.org/resource/Berlin))"
"SELECT ?person WHERE { ?person <http://dbpedia.org/property/deathDate> ?deathDate } ","(Thing THAT ( http://dbpedia.org/property/deathDate SOME Thing ))"
"SELECT ?label WHERE { ?disease <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:Diseases_and_disorders> ; <http://www.w3.org/2000/01/rdf-schema#label> ?label } ","ObjectProperty: http://www.w3.org/2000/01/rdf-schema#labelInverse 
   inverseOf http://www.w3.org/2000/01/rdf-schema#label
(Thing THAT (http://www.w3.org/2000/01/rdf-schema#labelInverse SOME ((Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:Diseases_and_disorders )))))"
"SELECT * WHERE { ?x <http://xmlns.com/foaf/0.1/name> ?name ; a <http://dbpedia.org/ontology/Artist> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> ; <http://dbpedia.org/ontology/birthDate> ?nacimiento } ","(Thing THAT ( http://xmlns.com/foaf/0.1/name SOME Thing )) AND (Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Artist )) AND (Thing THAT ( http://dbpedia.org/ontology/nationality SOME http://dbpedia.org/resource/Spain )) AND (Thing THAT ( http://dbpedia.org/ontology/birthDate SOME Thing ))"
"SELECT ?page ?name WHERE { ?x <http://xmlns.com/foaf/0.1/page> ?page ; <http://xmlns.com/foaf/0.1/name> ?name } ","ObjectProperty: http://xmlns.com/foaf/0.1/pageInverse 
   inverseOf http://xmlns.com/foaf/0.1/page
(Thing THAT (http://xmlns.com/foaf/0.1/pageInverse SOME ((Thing THAT ( http://xmlns.com/foaf/0.1/name SOME Thing )))))"
